Source,Target,Export,Import,Diplomatic,War,Border,International Cases,Treaties,Exchange Rate,Religion_conflicts,,
Afghanistan,Albania,4670,113000,1,0,0,0,0,0.735749514,0,,
Afghanistan,Algeria,11100,19000,1,0,0,0,0,0.597301387,0,,
Afghanistan,Andorra,9160,0,0,0,0,0,0,90.974635,1,,1515711.764
Afghanistan,Angola,104000,20800,0,0,0,0,0,0.115173569,1,,
Afghanistan,antigua-barbuda,3160,0,0,0,0,0,0,28.39954979,1,,
Afghanistan,Argentina,11200,808000,1,0,0,0,0,0.959691194,1,,
Afghanistan,Armenia,4710,17500,1,0,0,0,0,0.154759012,0,,
Afghanistan,Australia,454000,4690000,1,1,0,0,0,56.15118571,1,,
Afghanistan,Austria,506000,9580000,1,0,0,0,0,90.974635,1,,
Afghanistan,Azerbaijan,3680,74400000,1,0,0,0,0,45.18572538,1,,
Afghanistan,Bahamas,6920,0,0,0,0,0,0,76.9523735,1,,
Afghanistan,Bahrain,373000,709000,1,0,0,0,0,203.5837029,1,,
Afghanistan,Bangladesh,177000,5850000,1,0,0,0,0,0.907487432,1,,
Afghanistan,Barbados,9640,1010,0,0,0,0,0,38.11209378,1,,
Afghanistan,Belarus,316000,33500000,0,0,0,0,0,30.09027449,0,,
Afghanistan,Belgium,0,0,1,0,0,0,0,90.974635,1,,
Afghanistan,Belize,5700,0,1,0,0,0,0,38.17603429,1,,
Afghanistan,Benin,1600,1290,1,0,0,0,0,0.13876966,1,,
Afghanistan,Bhutan,0,0,1,0,0,0,0,1.030385561,2,,
Afghanistan,Bolivia,129000,404000,1,0,0,0,0,11.16036419,1,,
Afghanistan,bosnia-herzegovina,2000,14400000,0,0,0,0,0,46.54093444,0,,
Afghanistan,Botswana,0,0,0,0,0,0,0,6.933272349,1,,
Afghanistan,Brazil,391000,17400000,1,0,0,0,0,14.16989251,1,,
Afghanistan,Brunei,2880,1470,1,0,0,0,0,57.12631953,1,,
Afghanistan,Bulgaria,80300,3970000,1,0,0,0,0,46.52701007,0,,
Afghanistan,Burkina-Faso,13100,2920,0,0,0,0,0,0.13876966,1,,
Afghanistan,Burundi,3320,1140000,1,0,0,0,0,0.039736677,1,,
Afghanistan,Cape-Verde,1260,0,0,0,0,0,0,0.82552181,1,,
Afghanistan,Cambodia,125000,15300,1,0,0,0,0,0.018919575,1,,
Afghanistan,Cameroon,8620,48600,0,0,0,0,0,0.138772,1,,
Afghanistan,Canada,3130000,17400000,1,0,0,0,0,58.67605079,1,,
Afghanistan,central-african-republic,1960000,0,0,0,0,0,0,0.138772,1,,
Afghanistan,Chad,136000,0,0,0,0,0,0,0.138772,1,,
Afghanistan,Chile,122000,18500,0,0,0,0,0,2762.919033,1,,
Afghanistan,China,24400000,977000000,1,0,0,0,0,11.68865775,0,,
Afghanistan,Colombia,11900,1900,1,0,0,0,0,0.021060039,1,,
Afghanistan,Comoros,23300,0,0,0,0,0,0,0.184775685,0,,
Afghanistan,congo,20900,0,0,0,0,0,0,0.138772,1,,
Afghanistan,republic-congo,0,0,0,0,0,0,0,0.038999592,1,,
Afghanistan,Costa-Rica,4720,196000,0,0,0,0,0,0.125538129,1,,
Afghanistan,Ivory-Coast,42300,1430,0,0,0,0,0,0.13876966,1,,
Afghanistan,Croatia,4800,307000,0,0,0,0,0,12.02205261,1,,
Afghanistan,Cuba,50600,1080,0,0,0,0,0,2.896271917,1,,
Afghanistan,Cyprus,728000,418000,1,0,0,0,0,90.974635,0,,
Afghanistan,Czechia,152000,17100000,0,0,0,0,0,3.441403027,1,,
Afghanistan,Denmark,86800,9990000,1,0,0,0,0,12.21481826,1,,
Afghanistan,Djibouti,0,0,0,0,0,0,0,0.432247163,0,,
Afghanistan,Dominica,10100,0,0,0,0,0,0,28.39954979,1,,
Afghanistan,dominican-republic,81900,2070,0,0,0,0,0,1.317656979,1,,
Afghanistan,Ecuador,11000,1000,0,0,0,0,0,76.75118259,1,,
Afghanistan,Egypt,366000,4700000,1,0,0,0,0,4.904074357,0,,
Afghanistan,El-Salvador,22100,0,0,0,0,0,0,76.75118259,1,,
Afghanistan,Equatorial-Guinea,0,19400000000,0,0,0,0,0,0.138772,1,,
Afghanistan,Eritrea,0,0,0,0,0,0,0,5.116885373,1,,
Afghanistan,Estonia,48500,346000,0,0,0,0,0,90.974635,0,,
Afghanistan,Eswatini,0,0,0,0,0,0,0,5.002496722,1,,
Afghanistan,Ethiopia,1780,45400,0,0,0,0,0,2.035544042,0,,
Afghanistan,Fiji,68700,48100,0,0,0,0,0,36.77762254,2,,
Afghanistan,Finland,2340000,505000,1,0,0,0,0,90.974635,1,,
Afghanistan,France,5900000,18500000,1,0,0,0,0,90.974635,1,,
Afghanistan,Gabon,1220,60300,0,0,0,0,0,0.138772,1,,
Afghanistan,Gambia,20000,21100,0,0,0,0,0,1.483124825,0,,
Afghanistan,Georgia,679000,78600,1,1,0,0,0,23.18606628,0,,
Afghanistan,Germany,11300000,92300000,1,1,0,0,0,90.974635,1,,
Afghanistan,Ghana,102000,25500,0,0,0,0,0,13.22170642,1,,
Afghanistan,Greece,72100,5210000,1,0,0,0,0,90.974635,0,,
Afghanistan,Grenada,2900,0,0,0,0,0,0,28.39954979,1,,
Afghanistan,Guatemala,84600,305000,0,0,0,0,0,9.88759184,1,,
Afghanistan,Guinea,198000,0,0,0,0,0,0,0.007850118,1,,
Afghanistan,Guinea-Bissau,0,0,0,0,0,0,0,0.13876966,1,,
